Entity	Label	Description
http://dbpedia.org/resource/Pretender	Pretender	"A pretender is someone who claims to be the rightful ruler of a country although not recognized as such by the current government. The term is often used to suggest that a claim is not legitimate. The word may refer to a former monarch or a descendant of a deposed monarchy, although this type of claimant is also referred to as a head of a house. The word was popularized by Queen Anne, who used it to refer to her Roman Catholic half-brother James Francis Edward Stuart, the Jacobite heir, in an address to Parliament in 1708: ""The French fleet sailed from Dunkirk ... with the Pretender on board."""
http://dbpedia.org/resource/Pyramid	Pyramid	A pyramid (from Greek: πυραμίς pyramís) is a structure whose outer surfaces are triangular and converge to a single step at the top, making the shape roughly a pyramid in the geometric sense. The base of a pyramid can be trilateral, quadrilateral, or of any polygon shape. As such, a pyramid has at least three outer triangular surfaces (at least four faces including the base). The square pyramid, with a square base and four triangular outer surfaces, is a common version.
http://dbpedia.org/resource/Algorithm	Algorithm	"In mathematics and computer science, an algorithm (/ˈælɡərɪðəm/) is a finite sequence of rigorous instructions, typically used to solve a class of specific problems or to perform a computation. Algorithms are used as specifications for performing calculations and data processing. More advanced algorithms can perform automated deductions (referred to as automated reasoning) and use mathematical and logical tests to divert the code execution through various routes (referred to as automated decision-making). Using human characteristics as descriptors of machines in metaphorical ways was already practiced by Alan Turing with terms such as ""memory"", ""search"" and ""stimulus""."
http://dbpedia.org/resource/Archive	Archive	"An archive is an accumulation of historical records or materials – in any medium – or the physical facility in which they are located. Archives contain primary source documents that have accumulated over the course of an individual or organization's lifetime, and are kept to show the function of that person or organization. Professional archivists and historians generally understand archives to be records that have been naturally and necessarily generated as a product of regular legal, commercial, administrative, or social activities. They have been metaphorically defined as ""the secretions of an organism"", and are distinguished from documents that have been consciously written or created to communicate a particular message to posterity."
http://dbpedia.org/resource/Pharaoh	Pharaoh	"Pharaoh (/ˈfɛəroʊ/, US also /ˈfeɪ.roʊ/; Egyptian: pr ꜥꜣ; Coptic: ⲡⲣ̅ⲣⲟ, romanized: Pǝrro; Biblical Hebrew: פַּרְעֹה‎ Parʿō) is the vernacular term often used by modern authors for the kings of ancient Egypt who ruled as monarchs from the First Dynasty (c. 3150 BC) until the annexation of Egypt by the Roman Empire in 30 BC. However, regardless of gender, ""king"" was the term used most frequently by the ancient Egyptians for their monarchs through the middle of the Eighteenth Dynasty during the New Kingdom. The term ""pharaoh"" was not used contemporaneously for a ruler until a possible reference to Merneptah, c. 1210 BC during the Nineteenth Dynasty, nor consistently used until the decline and instability that began with the Twenty-Fifth Dynasty."
http://dbpedia.org/resource/Desert	Desert	"A desert is a barren area of landscape where little precipitation occurs and, consequently, living conditions are hostile for plant and animal life. The lack of vegetation exposes the unprotected surface of the ground to denudation. About one-third of the land surface of the Earth is arid or semi-arid. This includes much of the polar regions, where little precipitation occurs, and which are sometimes called polar deserts or ""cold deserts"". Deserts can be classified by the amount of precipitation that falls, by the temperature that prevails, by the causes of desertification or by their geographical location."
http://dbpedia.org/ontology/Biomolecule	Biomolecule	equivalent to http://ccdb.ucsd.edu/NIF/BIRNLex-OBO-UBO.owl#birnlex_22.
http://dbpedia.org/ontology/OrganisationMember	Organisation member	A member of an organisation.
http://dbpedia.org/resource/Gated_community	Gated community	A gated community (or walled community) is a form of residential community or housing estate containing strictly controlled entrances for pedestrians, bicycles, and automobiles, and often characterized by a closed perimeter of walls and fences. Historically, cities have built defensive city walls and controlled gates to protect their inhabitants, and such fortifications have also separated quarters of some cities. Today, gated communities usually consist of small residential streets and include various shared amenities. For smaller communities, these amenities may include only a park or other common area. For larger communities, it may be possible for residents to stay within the community for most daily activities. Gated communities are a type of common interest development, but are disti
http://dbpedia.org/resource/Nebula	Nebula	"A nebula ('cloud' or 'fog' in Latin; pl. nebulae, nebulæ or nebulas) is a distinct luminescent part of interstellar medium, which can consist of ionized, neutral or molecular hydrogen and also cosmic dust. Nebulae are often star-forming regions, such as in the ""Pillars of Creation"" in the Eagle Nebula. In these regions, the formations of gas, dust, and other materials ""clump"" together to form denser regions, which attract further matter, and eventually will become dense enough to form stars. The remaining material is then thought to form planets and other planetary system objects."
http://dbpedia.org/resource/Anime	Anime	Anime (Japanese: アニメ, IPA: [aɲime]) is hand-drawn and computer-generated animation originating from Japan. Outside of Japan and in English, anime refers specifically to animation produced in Japan. However, in Japan and in Japanese, anime (a term derived from a shortening of the English word animation) describes all animated works, regardless of style or origin. Animation produced outside of Japan with similar style to Japanese animation is commonly referred to as anime-influenced animation.
http://dbpedia.org/resource/Annotation	Annotation	An annotation is extra information associated with a particular point in a document or other piece of information. It can be a note that includes a comment or explanation. Annotations are sometimes presented in the margin of book pages. For annotations of different digital media, see web annotation and text annotation.
http://dbpedia.org/resource/Community	Community	"A community is a social unit (a group of living things) with commonality such as place, norms, religion, values, customs, or identity. Communities may share a sense of place situated in a given geographical area (e.g. a country, village, town, or neighbourhood) or in virtual space through communication platforms. Durable good relations that extend beyond immediate genealogical ties also define a sense of community, important to their identity, practice, and roles in social institutions such as family, home, work, government, society, or humanity at large. Although communities are usually small relative to personal social ties, ""community"" may also refer to large group affiliations such as national communities, international communities, and virtual communities."
http://dbpedia.org/resource/Hormone	Hormone	"A hormone (from the Greek participle ὁρμῶν, ""setting in motion"") is a class of signaling molecules in multicellular organisms that are sent to distant organs by complex biological processes to regulate physiology and behavior. Hormones are required for the correct development of animals, plants and fungi. Due to the broad definition of a hormone (as a signaling molecule that exerts its effects far from its site of production), numerous kinds of molecules can be classified as hormones. Among the substances that can be considered hormones, are eicosanoids (e.g. prostaglandins and thromboxanes), steroids (e.g. oestrogen and brassinosteroid), amino acid derivatives (e.g. epinephrine and auxin), protein or peptides (e.g. insulin and CLE peptides), and gases (e.g. ethylene and nitric oxide)."
http://dbpedia.org/resource/Painting	Painting	"Painting is the practice of applying paint, pigment, color or other medium to a solid surface (called the ""matrix"" or ""support""). The medium is commonly applied to the base with a brush, but other implements, such as knives, sponges, and airbrushes, can be used. A portion of the history of painting in both Eastern and Western art is dominated by religious art. Examples of this kind of painting range from artwork depicting mythological figures on pottery, to Biblical scenes on the Sistine Chapel ceiling, to scenes from the life of Buddha (or other images of Eastern religious origin)."
http://dbpedia.org/resource/Playboy_Playmate	Playboy Playmate	"A Playmate is a female model featured in the centerfold/gatefold of Playboy magazine as Playmate of the Month (PMOTM). The PMOTM's pictorial includes nude photographs and a centerfold poster, along with a pictorial biography and the ""Playmate Data Sheet"", which lists her birthdate, measurements, turn-ons, and turn-offs. At the end of the year, one of the 12 Playmates of the Month is named Playmate of the Year (PMOTY). Every Playmate of the Month is awarded a prize of US$25,000 and each Playmate of the Year receives an additional prize of US$100,000 plus a car (specifically, a short-term lease of a car) and other discretionary gifts. In addition, Anniversary Playmates are usually chosen to celebrate a milestone year of the magazine. The use of the word ""Playmate"" in a sexual sense did not o"
http://dbpedia.org/resource/Port	Port	A port is a maritime facility comprising one or more wharves or loading areas, where ships load and discharge cargo and passengers. Although usually situated on a sea coast or estuary, ports can also be found far inland, such as Hamburg, Manchester and Duluth; these access the sea via rivers or canals. Because of their roles as ports of entry for immigrants as well as soldiers in wartime, many port cities have experienced dramatic multi-ethnic and multicultural changes throughout their histories.
http://dbpedia.org/resource/Database	Database	In computing, a database is an organized collection of data stored and accessed electronically. Small databases can be stored on a file system, while large databases are hosted on computer clusters or cloud storage. The design of databases spans formal techniques and practical considerations, including data modeling, efficient data representation and storage, query languages, security and privacy of sensitive data, and distributed computing issues, including supporting concurrent access and fault tolerance.
http://dbpedia.org/resource/Food	Food	Food is any substance consumed by an organism for nutritional support. Food is usually of plant, animal, or fungal origin, and contains essential nutrients, such as carbohydrates, fats, proteins, vitamins, or minerals. The substance is ingested by an organism and assimilated by the organism's cells to provide energy, maintain life, or stimulate growth. Different species of animals have different feeding behaviours that satisfy the needs of their unique metabolisms, often evolved to fill a specific ecological niche within specific geographical contexts.
http://dbpedia.org/resource/Nobel_Prize	Nobel Prize	"The Nobel Prizes (/noʊˈbɛl/ noh-BEL; Swedish: Nobelpriset [nʊˈbɛ̂lːˌpriːsɛt]; Norwegian: Nobelprisen [nʊˈbɛ̀lːˌpriːsn̩]) are five separate prizes that, according to Alfred Nobel's will of 1895, are awarded to ""those who, during the preceding year, have conferred the greatest benefit to humankind."" Alfred Nobel was a Swedish chemist, engineer, and industrialist most famously known for the invention of dynamite. He died in 1896. In his will, he bequeathed all of his ""remaining realisable assets"" to be used to establish five prizes which became known as ""Nobel Prizes."" Nobel Prizes were first awarded in 1901."
http://dbpedia.org/resource/Pandemic	Pandemic	"A pandemic (from Greek παν- pan- meaning ""all"", or ""every"" and δῆμος demos ""people"") is an epidemic of an infectious disease that has spread across a large region, for instance multiple continents or worldwide, affecting a substantial number of individuals. A widespread endemic disease with a stable number of infected individuals is not a pandemic. Widespread endemic diseases with a stable number of infected individuals such as recurrences of seasonal influenza are generally excluded as they occur simultaneously in large regions of the globe rather than being spread worldwide."
http://dbpedia.org/resource/Cardinal_direction	Cardinal direction	"The four cardinal directions, or cardinal points, are the four main compass directions: north, east, south, and west, commonly denoted by their initials N, E, S, and W respectively. Relative to north, the directions east, south, and west are at 90 degree intervals in the clockwise direction. 1. 
* West-northwest (WNW) 2. 
* North-northwest (NNW) 3. 
* North-northeast (NNE) 4. 
* East-northeast (ENE) 5. 
* East-southeast (ESE) 6. 
* South-southeast (SSE) 7. 
* South-southwest (SSW) 8. 
* West-southwest (WSW)"
http://dbpedia.org/resource/Historical_region	Historical region	Historical regions (or historical areas) are geographical regions which at some point in time had a cultural, ethnic, linguistic or political basis, regardless of latterday borders. They are used as delimitations for studying and analysing social development of period-specific cultures without any reference to contemporary political, economic or social organisations. Some regions are entirely invented, such as the Middle East in 1902 by a military strategist, Alfred Thayer Mahan, to refer to the area of the Persian Gulf.
http://dbpedia.org/resource/Legal_Case	Legal Case	Legal Case (18 April 1986 – after 2006) was an Irish-bred British-trained Thoroughbred racehorse and sire. He did not appear until the summer of his three-year-old season, but then made rapid progress, winning two minor races and the Select Stakes before recording his biggest win in the Champion Stakes in October 1989. He was never as good again, but did win the Premio Roma in 1990. After his retirement from racing he had some success as a breeding stallion in Brazil.
http://dbpedia.org/resource/Rebbe	Rebbe	A Rebbe (Yiddish: רבי, romanized: rebe) or Admor (Hebrew: אדמו״ר) is the spiritual leader in the Hasidic movement, and the personalities of its dynasties. The titles of Rebbe and Admor, which used to be a general honor title even before the beginning of the movement, became, over time, almost exclusively identified with its Tzaddikim.
